keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
KOSSINETS G, 2006, SCIENCE, V311, P88, DOI 10.1126/SCIENCE.1116869	4.0	1.4403313691456094E-4	0.0	2006	-1	-1	0	4.0	0	13
SOBOLEVSKY S, 2013, PLOS ONE, V8, P0, DOI 10.1371/JOURNAL.PONE.0081707	3.0	0.0	0.0	2013	-1	-1	0	3.0	0	6
MARQUET PA, 2012, P NATL ACAD SCI USA, V109, P14754, DOI 10.1073/PNAS.1116724109	3.0	7.501425030643633E-4	0.0	2012	-1	-1	0	5.0	0	7
BLASIUS B, 2009, PHYS REV LETT, V103, P0, DOI 10.1103/PHYSREVLETT.103.218701	2.0	0.0	0.0	2009	-1	-1	0	3.0	0	10
SACHSIDA A, 2010, EMPIR ECON, V39, P93, DOI 10.1007/S00181-009-0296-4	2.0	0.0017758626726664206	0.0	2010	-1	-1	0	3.0	0	9
SETO KC, 2012, P NATL ACAD SCI USA, V109, P16083, DOI 10.1073/PNAS.1211658109	6.0	0.0	0.0	2012	-1	-1	0	6.0	0	7
PAUL MJ, 2001, ANNU REV ECOL SYST, V32, P333, DOI 10.1146/ANNUREV.ECOLSYS.32.081501.114040	2.0	0.0	0.0	2001	-1	-1	0	7.0	0	18
ANDERSON C, 2006, LONG TAIL WHY FUTURE, V0, P0	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
HOU C, 2008, SCIENCE, V322, P736, DOI 10.1126/SCIENCE.1162302	2.0	0.0	0.0	2008	-1	-1	0	4.0	0	11
COTTINEAU C, 2017, COMPUT ENVIRON URBAN, V63, P80, DOI 10.1016/J.COMPENVURBSYS.2016.04.006	5.0	3.8726646926707516E-4	0.0	2017	-1	-1	0	1.0	0	2
OLIVEIRA M, 2017, PLOS ONE, V12, P0, DOI 10.1371/JOURNAL.PONE.0183110	3.0	0.0	0.0	2017	-1	-1	0	1.0	0	2
POUMANYVONG P, 2010, ECOL ECON, V70, P434, DOI 10.1016/J.ECOLECON.2010.09.029	3.0	0.0023760672254048093	0.0	2010	-1	-1	0	6.0	0	9
LEWIS DB, 2006, GLOBAL CHANGE BIOL, V12, P703, DOI 10.1111/J.1365-2486.2006.01126.X	2.0	0.0	0.0	2006	-1	-1	0	2.0	0	13
DHAKAL S, 2009, ENERG POLICY, V37, P4208, DOI 10.1016/J.ENPOL.2009.05.020	3.0	1.2238654104143723E-4	0.0	2009	-1	-1	0	3.0	0	10
MONTGOMERY MR, 2008, SCIENCE, V319, P761, DOI 10.1126/SCIENCE.1153012	3.0	0.0	0.0	2008	-1	-1	0	6.0	0	11
VIBOUD C, 2006, SCIENCE, V312, P447, DOI 10.1126/SCIENCE.1125237	2.0	0.0	0.0	2006	-1	-1	0	6.0	0	13
HATT BE, 2004, ENVIRON MANAGE, V34, P112, DOI 10.1007/S00267-004-0221-8	2.0	0.01005317986450062	0.0	2004	-1	-1	0	5.0	0	15
EWING R, 2010, J AM PLANN ASSOC, V76, P265, DOI 10.1080/01944361003766766	3.0	0.0	0.0	2010	-1	-1	0	8.0	0	9
UN U, 2012, WORLD URB PROSP 2011, V0, P0	4.0	0.0	0.0	2012	-1	-1	0	3.0	0	7
KAUFMANN RK, 2007, J CLIMATE, V20, P2299, DOI 10.1175/JCLI4109.1	2.0	3.165570907243187E-4	0.0	2007	-1	-1	0	3.0	0	12
SETO KC, 2010, ANNU REV ENV RESOUR, V35, P167, DOI 10.1146/ANNUREV-ENVIRON-100809-125336	10.0	0.019690065577744553	0.0	2010	-1	-1	0	5.0	0	9
ALVES LGA, 2013, PHYSICA A, V392, P2672, DOI 10.1016/J.PHYSA.2013.02.002	8.0	0.01054738633160408	0.0	2013	-1	-1	0	2.0	0	6
MARSHALL S, 2006, STREETS PATTERNS, V0, P0	2.0	8.644687441574769E-4	0.0	2006	-1	-1	0	7.0	0	13
GOMEZ-LIEVANO A, 2017, NAT HUM BEHAV, V1, P0, DOI 10.1038/S41562-016-0012	4.0	2.3770159619407885E-4	0.0	2017	-1	-1	0	1.0	0	2
BENGUIGUI L, 2007, COMPUT ENVIRON URBAN, V31, P648, DOI 10.1016/J.COMPENVURBSYS.2006.11.002	2.0	0.0	0.0	2007	-1	-1	0	5.0	0	12
CASTELLANO C, 2009, REV MOD PHYS, V81, P591, DOI 10.1103/REVMODPHYS.81.591	9.0	0.03006886217246254	0.0	2009	-1	-1	0	5.0	0	10
COSTANZA R, 2014, GLOBAL ENVIRON CHANG, V26, P152, DOI 10.1016/J.GLOENVCHA.2014.04.002	3.0	0.006345436972012122	0.0	2014	-1	-1	0	3.0	0	5
CRANE P, 2005, SCIENCE, V308, P1225, DOI 10.1126/SCIENCE.1114165	5.0	0.023254399133925272	0.0	2005	-1	-1	0	8.0	0	14
KALUZA P, 2010, J R SOC INTERFACE, V7, P1093, DOI 10.1098/RSIF.2009.0495	3.0	6.280141337319786E-4	0.0	2010	-1	-1	0	2.0	0	9
UNITED N, 2014, WORLD URB PROSP 2014, V0, P0	4.0	0.0	0.0	2014	-1	-1	0	3.0	0	5
OLIVER-SOLA J, 2009, ENERG POLICY, V37, P4711, DOI 10.1016/J.ENPOL.2009.06.025	2.0	7.168694384031879E-4	0.0	2009	-1	-1	0	2.0	0	10
BETTENCOURT LMA, 2008, EUR PHYS J B, V63, P285, DOI 10.1140/EPJB/E2008-00250-6	2.0	0.010605861406051175	0.0	2008	-1	-1	0	5.0	0	11
BATTY M, 2011, ENVIRON PLANN A, V43, P765, DOI 10.1068/A43403	2.0	0.0	0.0	2011	-1	-1	0	0.0	0	8
FACCHINI A, 2017, APPL ENERG, V186, P86, DOI 10.1016/J.APENERGY.2016.09.025	3.0	0.0016046193634385994	0.0	2017	-1	-1	0	1.0	0	2
GALLOS LK, 2012, SCI REP-UK, V2, P0, DOI 10.1038/SREP00454	3.0	0.0	0.0	2012	-1	-1	0	3.0	0	7
RYBSKI D, 2013, PHYS REV E, V87, P0, DOI 10.1103/PHYSREVE.87.042114	4.0	0.0	0.0	2013	-1	-1	0	2.0	0	6
CARPENTER SR, 2009, P NATL ACAD SCI USA, V106, P1305, DOI 10.1073/PNAS.0808772106	3.0	0.0013556480272565534	0.0	2009	-1	-1	0	6.0	0	10
CLARK WC, 2003, P NATL ACAD SCI USA, V100, P8059, DOI 10.1073/PNAS.1231333100	3.0	0.0	0.0	2003	-1	-1	0	8.0	0	16
BLONDEL VD, 2008, J STAT MECH-THEORY E, V0, P0, DOI 10.1088/1742-5468/2008/10/P10008	4.0	0.017414988842345363	0.0	2008	-1	-1	0	7.0	0	11
