term,id,span,weight,reciprocal,w,begin,end
prevention-of-mother,33748,5,4.0264,6493.4,4.0264,2008,2012,
prevention-of-mother-to,33749,5,4.0264,6493.4,4.0264,2008,2012,
primary-care,33832,3,3.4876,6087.5625,3.4876,2008,2010,
problem-solving,33987,2,3.1257,10822.333333333334,3.1257,2004,2005,
problems-of,34006,7,3.8777,6493.4,3.8777,2005,2011,
production-of,34184,9,3.527,4427.318181818182,3.527,1998,2006,
properties-of,34424,2,3.3172,854.3947368421053,3.3172,2004,2005,
properties-of-the,34435,2,3.3407,2435.025,3.3407,2004,2005,
proportion-of,34464,8,6.8566,1873.0961538461538,6.8566,2004,2011,
provision-of,34709,5,4.145,4234.826086956522,4.145,2015,
public-health,34786,2,3.9627,2117.413043478261,3.9627,2003,2004,
quality-and-climate,34952,6,3.3224,12175.125,3.3224,2005,2010,
quality-of-life,35005,3,3.8645,2213.659090909091,3.8645,2003,2005,
question-of,35117,4,3.1741,13914.42857142857,3.1741,1999,2002,
areas-of,3512,2,3.6519,1453.7462686567164,3.6519,2015,2016,
radiance-calibrated,35193,2,4.028,16233.5,4.028,2001,2002,
rainfall-data,35240,4,10.2398,2213.659090909091,10.2398,2005,2008,
rainfall-ddf,35254,3,4.4703,9740.1,4.4703,2013,2015,
rainfall-ddf-relationships,35255,3,4.4703,9740.1,4.4703,2013,2015,
rank-size,35471,8,6.0355,2164.4666666666667,6.0355,2007,2014,
rank-size-distributions,35474,6,3.7836,8116.75,3.7836,2007,2012,
rate-of,35553,7,6.9716,1475.7727272727273,6.9716,2004,2010,
rates-of,35597,3,3.2064,2705.5833333333335,3.2064,2011,2013,
real-time,35705,3,4.7666,2864.735294117647,4.7666,2014,2016,
argues-that,3574,9,3.4037,4234.826086956522,3.4037,1998,2006,
regional-climate,36169,4,3.7233,8854.636363636364,3.7233,2016,
art-programs,3622,3,3.2491,16233.5,3.2491,2009,2011,
relationships-between,36511,5,3.4267,1232.9240506329113,3.4267,2003,2007,
relationships-with,36553,3,3.3793,8116.75,3.3793,2011,2013,
relative-importance,36568,5,3.3332,6493.4,3.3332,2008,2012,
reliability-and,36632,3,4.0725,8116.75,4.0725,2011,2013,
reprint-author,36887,3,3.0939,10822.333333333334,3.0939,2012,2014,
reproductive-health,36904,2,3.4004,9740.1,3.4004,2015,2016,
respect-to,37283,8,5.8875,1546.047619047619,5.8875,2003,2010,
result-of,37394,5,4.097,1596.7377049180327,4.097,1999,2003,
aspect-ratios,3750,2,3.9988,13914.42857142857,3.9988,2012,2013,
richness-and,37603,7,4.2756,3141.967741935484,4.2756,2000,2006,
assemblage-structure,3768,12,4.1588,4058.375,4.1588,2000,2011,
risk-factors,37710,5,3.2223,6957.214285714285,3.2223,2004,2008,
risk-of,37728,2,3.5697,2265.139534883721,3.5697,2013,2014,
river-basin,37766,10,3.2621,5729.470588235294,3.2621,2002,2011,
river-discharge,37774,4,3.4142,16233.5,3.4142,2006,2009,
roughness-sublayer,37980,6,4.48,6957.214285714285,4.48,1999,2004,
runoff-from,38042,5,3.344,13914.42857142857,3.344,2004,2008,
rural-and-urban,38056,4,4.6852,2072.3617021276596,4.6852,2007,2010,
rural-areas,38068,6,3.2879,1453.7462686567164,3.2879,2006,2011,
rural-to,38154,3,6.9531,4058.375,6.9531,2014,2016,
rural-to-urban,38157,2,7.376,4638.142857142857,7.376,2014,2015,
s0269-7491,38194,2,3.8534,13914.42857142857,3.8534,2013,2014,
sample-of,38256,4,3.8152,2497.4615384615386,3.8152,2009,2012,
scale-invariance,38524,9,4.02,5411.166666666667,4.02,1998,2006,
scale-invariant,38532,2,5.2115,4427.318181818182,5.2115,1998,1999,
scale-model,38557,9,3.1458,8116.75,3.1458,2001,2009,
scale-of,38566,2,6.7978,2072.3617021276596,6.7978,2010,2011,
scaling-form,38867,3,3.9205,10822.333333333334,3.9205,2007,2009,
scaling-function,38872,10,4.8365,6087.5625,4.8365,1999,2008,
scaling-of,38979,2,4.4976,432.8933333333333,4.4976,2002,2003,
scaling-of-geographic,38997,2,3.9988,13914.42857142857,3.9988,2012,2013,
scaling-of-geographic-space,38998,2,3.9988,13914.42857142857,3.9988,2012,2013,
scaling-relations,39070,3,4.0456,2435.025,4.0456,2010,2012,
scaling-up-of,39183,5,5.7559,1770.9272727272728,5.7559,2003,2007,
scaling-was,39229,5,3.4009,9740.1,3.4009,2001,2005,
school-reform,39308,4,3.8116,13914.42857142857,3.8116,2000,2003,
science-b,39326,5,7.6241,8116.75,7.6241,1999,2003,
science-ltd,39339,6,8.7971,6957.214285714285,8.7971,1998,2003,
associated-with,3953,3,5.6587,384.9841897233202,5.6587,2005,2007,
semi-arid,39694,3,4.0725,8116.75,4.0725,2011,2013,
sensor-networks,39769,2,3.7108,12175.125,3.7108,2013,2014,
associated-with-the,3981,2,3.1125,3246.7,3.1125,2007,2008,
sets-of,40057,7,3.4258,8116.75,3.4258,2001,2007,
sexually-transmitted,40178,3,3.2276,10822.333333333334,3.2276,2011,2013,
sf-36,40181,5,9.9702,2951.5454545454545,9.9702,2003,2007,
shear-stress,40272,3,6.456,9740.1,6.456,2002,2004,
showed-a,40367,4,4.1509,4234.826086956522,4.1509,2007,2010,
sierra-nevada,40444,7,5.8513,9740.1,5.8513,2000,2006,
sigma-u,40456,5,3.2225,19480.2,3.2225,1998,2002,
significantly-higher,40617,5,3.3122,2265.139534883721,3.3122,2004,2008,
similar-hierarchy,40681,2,3.9988,13914.42857142857,3.9988,2012,2013,
similarity-of,40765,6,3.1472,9740.1,3.1472,2008,2013,
sites-in,40980,2,3.1577,2563.184210526316,3.1577,2008,2009,
size-distribution,41073,6,5.5737,2072.3617021276596,5.5737,2008,2013,
size-distributions,41078,5,8.509,1873.0961538461538,8.509,2007,2011,
size-distributions-of,41085,5,4.0529,8116.75,4.0529,2008,2012,
attempts-to,4119,2,3.5848,6493.4,3.5848,2014,2015,
small-scale,41273,2,4.9967,2951.5454545454545,4.9967,2013,2014,
smart-cities,41336,5,3.9003,3607.4444444444443,3.9003,2015,
smart-city,41341,5,4.1506,3896.04,4.1506,2015,
social-capital,41415,11,6.0495,4638.142857142857,6.0495,2001,2011,
social-distance,41442,5,3.2969,16233.5,3.2969,2005,2009,
social-networks,41479,2,4.5885,3896.04,4.5885,2014,2015,
soil-organic,41620,9,4.0508,10822.333333333334,4.0508,2000,2008,
southern-california,41790,3,4.3329,8116.75,4.3329,2010,2012,
spatial-distribution,41963,5,3.2973,2375.6341463414633,3.2973,2012,2016,
spatial-distribution-of,41965,5,4.4668,3478.6071428571427,4.4668,2012,2016,
spatial-scale,42058,6,3.7951,3607.4444444444443,3.7951,1998,2003,
spatially-explicit,42111,8,4.0295,5126.368421052632,4.0295,1999,2006,
species-composition,42179,8,4.5839,2029.1875,4.5839,2006,2013,
species-in,42210,6,3.4808,2864.735294117647,3.4808,2011,2016,
species-richness,42235,5,9.1181,1521.890625,9.1181,2006,2010,
species-richness-and,42237,7,3.2314,6493.4,3.2314,2000,2006,
state-and,42569,7,3.9193,5729.470588235294,3.9193,1999,2005,
2-e,427,2,4.0032,12175.125,4.0032,2010,2011,
streams-in,42996,3,3.6397,8116.75,3.6397,2010,2012,
street-canyon,43015,13,5.2491,3607.4444444444443,5.2491,2000,2012,
street-networks,43037,2,3.7982,7492.384615384615,3.7982,2008,2009,
street-patterns,43041,3,3.0939,10822.333333333334,3.0939,2012,2014,
strength-of,43064,5,3.3137,8116.75,3.3137,2010,2014,
subjects-were,43437,10,3.5409,10822.333333333334,3.5409,1998,2007,
subset-of,43462,6,3.1972,8854.636363636364,3.1972,2000,2005,
suggested-that,43591,10,3.5161,8854.636363636364,3.5161,2001,2010,
axis-was,4368,5,3.2969,16233.5,3.2969,2005,2009,
super-linear,43691,2,3.6646,8116.75,3.6646,2015,2016,
supply-chain,43732,2,3.1362,12175.125,3.1362,2015,2016,
surface-area,43818,2,3.1775,5411.166666666667,3.1775,2009,2010,
surface-water,43866,4,4.5161,4427.318181818182,4.5161,2009,2012,
surveys-of,43936,4,3.2527,16233.5,3.2527,2007,2010,
sustainability-of,43985,4,3.1849,3358.655172413793,3.1849,2016,
synthetic-data,44088,4,3.57,16233.5,3.57,2005,2008,
bacterial-community,4410,3,4.9781,9740.1,4.9781,2012,2014,
systems-in,44243,4,3.9647,3896.04,3.9647,2016,
systolic-bp,44282,2,3.3507,13914.42857142857,3.3507,2015,2016,
t-h,44289,4,4.3301,13914.42857142857,4.3301,2003,2006,
tail-breaks,44303,3,4.9173,8854.636363636364,4.9173,2013,2015,
taxon-richness,44410,3,3.142,16233.5,3.142,2003,2005,
territorial-states,44815,2,3.3898,19480.2,3.3898,1998,1999,
three-dimensional,45074,12,3.8231,4427.318181818182,3.8231,1999,2010,
three-dimensions,45077,4,3.1016,13914.42857142857,3.1016,2007,2010,
time-and,45226,2,3.5641,2497.4615384615386,3.5641,2012,2013,
tinea-capitis,45375,7,3.585,16233.5,3.585,1999,2005,
2-years,459,6,3.2914,5729.470588235294,3.2914,2003,2008,
transportation-system,45902,2,3.2454,7492.384615384615,3.2454,2014,2015,
treated-wastewater,45958,3,3.5886,13914.42857142857,3.5886,2011,2013,
treatment-of,45981,5,3.2117,3746.1923076923076,3.2117,2004,2008,
tree-species,46066,4,7.496,2164.4666666666667,7.496,2013,2016,
turbulence-and,46251,9,3.6035,6957.214285714285,3.6035,1999,2007,
type-of,46539,4,3.5945,2864.735294117647,3.5945,2005,2008,
types-of,46560,4,3.9035,1132.5697674418604,3.9035,2016,
understand-the,46740,5,3.7159,2072.3617021276596,3.7159,2006,2010,
united-states,46863,2,4.1513,1145.894117647059,4.1513,2010,2011,
units-of,46882,2,3.1561,10822.333333333334,3.1561,2003,2004,
urban-and,47049,2,5.6957,576.3372781065088,5.6957,2005,2006,
urban-and-rural,47069,2,4.8156,1391.442857142857,4.8156,2005,2006,
urban-canopy,47162,5,3.5716,8854.636363636364,3.5716,2004,2008,
urban-development,47230,7,5.7792,1570.983870967742,5.7792,2000,2006,
urban-districts,47244,2,3.5169,8116.75,3.5169,2011,2012,
urban-fire,47316,5,3.2235,9740.1,3.2235,2010,2014,
urban-fires,47318,2,4.9652,8116.75,4.9652,2010,2011,
urban-forest,47329,2,5.0926,1948.02,5.0926,2010,2011,
urban-governance,47364,9,3.6038,10822.333333333334,3.6038,1999,2007,
urban-greening,47378,2,3.6137,13914.42857142857,3.6137,2014,2015,
urban-indicators,47436,2,4.9135,3141.967741935484,4.9135,2014,2015,
urban-interface,47456,4,3.3545,12175.125,3.3545,2008,2011,
urban-land,47465,2,3.9921,1837.754716981132,3.9921,2002,2003,
urban-land-cover,47466,2,4.4125,6493.4,4.4125,2002,2003,
urban-parks,47542,4,3.8842,8116.75,3.8842,2011,2014,
urban-ponds,47575,4,3.2515,13914.42857142857,3.2515,2016,
urban-regions,47624,2,3.2309,5729.470588235294,3.2309,2014,2015,
urban-scaling,47661,4,3.6184,2375.6341463414633,3.6184,2016,
urban-site,47690,4,3.7724,8854.636363636364,3.7724,2005,2008,
urban-sprawl,47719,3,3.2245,6087.5625,3.2245,2004,2006,
urban-street,47732,6,3.2876,4234.826086956522,3.2876,2008,2013,
urban-traffic,47773,9,3.3363,3246.7,3.3363,2000,2008,
urban-tree,47782,4,6.2996,3607.4444444444443,6.2996,2013,2016,
urban-tree-species,47788,3,3.4857,6957.214285714285,3.4857,2013,2015,
urban-versus,47801,2,3.8294,12175.125,3.8294,2015,2016,
validity-of,48068,4,3.7575,4870.05,3.7575,2010,2013,
vegetation-and-the,48413,2,3.265,19480.2,3.265,2005,2006,
velocity-and,48489,2,3.8022,5411.166666666667,3.8022,1999,2000,
version-of,48545,8,4.324,2951.5454545454545,4.324,2004,2011,
waste-latex,48813,2,5.9289,10822.333333333334,5.9289,2003,2004,
waste-latex-paint,48814,2,5.9289,10822.333333333334,5.9289,2003,2004,
water-distribution,48876,4,4.1878,8116.75,4.1878,2016,
wi-fi,49250,2,3.1859,8854.636363636364,3.1859,2015,2016,
wildland-urban,49307,4,3.5417,13914.42857142857,3.5417,2008,2011,
wildland-urban-interface,49308,4,3.5417,13914.42857142857,3.5417,2008,2011,
wind-resource,49350,4,4.3921,9740.1,4.3921,2011,2014,
wind-speed,49354,4,6.4991,3358.655172413793,6.4991,2011,2014,
wind-turbines,49368,3,3.5886,13914.42857142857,3.5886,2011,2013,
wind-velocity,49371,9,4.2458,8116.75,4.2458,2000,2008,
women-attending,49422,2,4.3081,10822.333333333334,4.3081,2015,2016,
women-in,49435,4,5.7658,4234.826086956522,5.7658,2004,2007,
woody-vegetation,49474,2,3.3507,13914.42857142857,3.3507,2015,2016,
x-10,49613,2,3.9537,6493.4,3.9537,2010,2011,
